UserName;Embedded_text;Likes;ID
@neiljmcevoy;"Is this guy real? BBC News - Climate change: Wales has 'duty' due to coal mining history
bbc.co.uk
Climate change: Wales has 'duty' due to coal mining history
A charity director says the country's coal mining history means it has released a lot of carbon.
6
18
39";18;post_19
@Prof_FSultana;"Another thank you! For those teaching courses on climate justice or climate change  here’s my latest piece on Critical Climate Justice that’s again written (hopefully) in accessible ways by bringing theory & praxis together. PDF for anyone interested https://farhanasultana.com/wp-content/uploads/Sultana-Critical-Climate-Justice.pdf…
Quote Tweet
Dr Lisa Schipper
@schipper_lisa
 · Jan 17
Replying to @Prof_FSultana
This one is already on the syllabus Farhana! 
3
15
67";15;post_20
@MAVERIC22440705;"HA HA HA ! - Yes this shows the STUPIDITY of the evil UN's  CLIMATE CHANGE - WACKO'S 
1
6
11";6;post_21
@BigJDubz;"The climate has to want to change
13
65";13;post_22
@dubsndoo;"Toronto Ontario; the city that thought snow ploughs were for Siberia. Welcome to the real world  you climate change snowflakes.
Quote Tweet
CBC Toronto
@CBCToronto
 · Jan 17
BREAKING: Toronto police are temporarily closing the Don Valley Parkway and Gardiner Expressway  two of the city's major arteries  due to the ""extreme weather."" https://cbc.ca/news/canada/toronto/dvp-gardiner-closure-blizzard-1.6317614…
Show this thread
2
5
30";5;post_23
@GerryCallahan;"And there it is. This asshole thinks climate change is a more pressing issue than genocide. Can't wait for social justice frauds Steve Kerr and LeBron James to come to his defense. Any comment  Adam Silver?
Quote Tweet
Rebel News UK
@RebelNews_UK
 · Jan 17
Chamath Palihapitiya argued that there are more pressing issues at hand such as climate change and America’s failing health-care system than the oppression of millions of Muslims in China.

https://rebelne.ws/3IeN6aO
13
12
125";12;post_24
@autisticgardner;"They now say we have to invest in our infrastructure to protect us from climate change.  What happened in investment to reduce climate change. 
3
2
18";2;post_25
@ECOWARRIORSS;"Unless fossil fuels are ended and deforestation and over consumption stopped - the ultimate adaption to climate change is extinction
There Is No Adapting to This
gizmodo.com
There Is No Adapting to Extreme Weather
The U.S. is hemorrhaging money and lives in the face of the climate crisis. No level of adaptation can keep up without cutting emissions.
5
35
73";35;post_26
@propublica;"The truth about the devastating future climate change will bring is that there will be too much grief and suffering to bear. 
(Audio version now available)
propublica.org
The Climate Crisis Is Worse Than You Can Imagine. Here’s What Happens If You Try.
A climate scientist spent years trying to get people to pay attention to the disaster ahead. His wife is exhausted. His older son thinks there’s no future. And nobody but him will use the outdoor...
9
40
65";40;post_27
@hort4cy;"It's great to have 
@ChuckGrassley
 in Oelwein today. A wide range of topics were covered: prescription drugs  packer concentration  ethanol  health care  vaccine mandates  social media  fertilizer imports  BBB  open southern border  climate change  student loans & inflation.
3
1
9";1;post_28
@thecableng;"Ikeazor: NLNG's decision to suspend gas export will address climate change challenges | TheCable https://thecable.ng/ikeazor-nlngs-decision-to-suspend-gas-export-will-address-climate-change-challenges/amp…
1
7
26";7;post_29
@BurggrabenH;"Jeff explaining the #commodity super cycle in most metals & oil/gas - we are at best in first inning. Why? Solving income equality & climate change (green revolution) both take decades.

⁦
@ttmygh
⁩ is the best possible interviewer.
podcasts.apple.com
Smarter Markets: What are SmarterMarkets? Episode 1 | Jeff Currie  Goldman Sachs Global Head of...
Sendung Smarter Markets  Folge What are SmarterMarkets? Episode 1 | Jeff Currie  Goldman Sachs Global Head of Commodities Research – 14. Jan. 2022
4
22
94";22;post_30
@eroston;"Took weeks after seeing #DontLookUp but just remembered reading a metaphor comparing climate change to a meteor in a little-known 2008 jaunt called The Carbon Age.
5
1
26";1;post_31
@palinode;"Now more than ever  I need a time machine to jump back 20 years and tell myself that everyone hates Joss Whedon now. Also climate change  global disease and the corrosion of democracy by racist authoritarians  but mostly the Whedon thing.
1
14";1;post_32
@curiouswavefn;"Wonderfully clear-eyed  balanced and non-alarmist testimony on climate change from Carl Sagan given to Congress in 1985
youtube.com
Carl Sagan testifying before Congress in 1985 on climate change
Original source: https://www.c-span.org/video/?125856-1/greenhouse-effectDECEMBER 10  1985“Witnesses testified on how the greenhouse effect will change the g...
1
4
21";4;post_33
@Entrepreneur;"It's Time for Businesses to Adapt to Climate Change. How Should They Do It?
entrepreneur.com
It's Time for Businesses to Adapt to Climate Change. How Should They Do It?
Business leaders need to understand the entire range of opportunities in climate mitigation and climate adaptation.
4
7
34";7;post_34
@ashbetteridge;"If you are interested in these issues rather than just pot shots at a govt you don't like in Australia  then this is a great opportunity to engage a little more deeply on the Pacific  humanitarian issues  climate change issues  and our broader aid policy...
1
4
18";4;post_35
@AllanMargolin;"The most important thing any of us can do about climate change is use our voices to advocate for change at every level  from our homes and our neighborhoods to our cities and our countries.' 
@KHayhoe
 

https://insideclimatenews.org/news/17012022/martin-luther-king-jr-climate-justice/…
@morganarae
 @ClementsIra
 @Only_Sn0wman
 @Vmbritsch
insideclimatenews.org
Inspired by King’s Words  Experts Say the Fight for Climate Justice Anywhere is a Fight for Climate...
Terms like “environmental racism” or “environmental justice” were not yet part of the national lexicon when the Rev. Martin Luther King Jr. was assassinated at the Lorraine Hotel in Memphis on April...
1
22
55";22;post_36
@UnionizeTesla;"Replying to 
@laurenboebert
I’m not gonna take climate change advice from someone literally owned by Big Oil. No thanks.

Peddle your propaganda elsewhere.
2
1
26";1;post_37
@SarahVogelsong;"Youngkin says ""coastal resiliency is critical"" b/c of Port of Va and military assets in Hampton Roads  pledges to create Coastal Virginia Resiliency Authority ""to battle rising seas."" 

No mention of climate change.
3
3
10";3;post_38
@Rob_roborob;"Replying to 
@laurenboebert
BREAKING: Colorado woman who believes Meteorologists study comets weighs in on climate change";397;post_39
@CLIMATEMAMA;"#Romania pushes to add climate change education in schools: “Our generation has failed to save the climate but at least we can give the next one a chance to fight with the best available tool — which is #education” #climateaction
apnews.com
Romania pushes to add climate change education in schools
BUCHAREST  Romania (AP) — Romania’s president wants to add sections on climate change and environmental issues to the national school curriculum to enable students to learn more about the challenges...
1
5
13";5;post_40
@DroneSeed;"As we honor the legacy of Dr. Martin Luther King Jr.  let's remember his influence on environmental justice  which recognizes the adverse effects of climate change are disproportionately felt by historically underserved communities:
inverse.com
7 overlooked ways Martin Luther King Jr. influenced environmental justice
Dr. King's legacy made the environment a social justice issue. Here are seven ways his influence continues to guide the environmental movement today.
2
14";2;post_41
@planttreaty;"""Why protecting the planet is essential to preventing future #pandemics"" - as featured in 
@CNN
 

https://cnn.it/3qDScY8

#Health #ClimateCrisis #Biodiversity #LifeOnEarth #Environment 
@UNEP
 @UNBiodiversity
 @mremae
 @planttreaty
 @FAO
 @UNFCCC
 @WWF
 @wef
 @WorldBioForum
 @UN
edition.cnn.com
Opinion: Why protecting the planet is essential to preventing future pandemics
Both habitat loss and the wildlife trade increase the likelihood that diseases will make the jump from animals to humans.
1
8
11";8;post_42
@standearth;"3 Lessons From Dr. King’s Letter From A Birmingham Jail For The Climate Crisis: Written from jail  a stirring letter from Dr. Martin Luther King has lessons for the climate change crisis
forbes.com
3 Lessons From Dr. King’s Letter From A Birmingham Jail For The Climate Crisis
Written from jail  a stirring letter in 1963 from Dr. Martin Luther King has lessons for the climate change crisis
6
12";6;post_43
@WilksJeremy;"Via 
@euronews
: What's the real role of volcanoes in climate change?
euronews.com
What's the real role of volcanoes in climate change?
What's the role of volcanoes in climate change? We report from the Spanish island of La Palma and reveal the true influence of the emissions from the Cumbre Vieja volcano on our atmosphere.
4
13";4;post_44
@MrMatthewTodd;"This is peak 
@bbc
 as much as I value the organisation. Don’t Look Up is entirely and unequivocally an allegory about climate change and how the media doesn’t get it. The writer/director have said nothing else for weeks. Here’s the 
@BBCNews
 not getting it
bbc.co.uk
Don't Look Up: What's the plan to deal with asteroids and comets?
Hollywood loves movies about space rocks hitting earth  but how would we deal with the real thing?
13
15
80";15;post_45
@sjoshimd;"This is such a great talk on healthcare and climate change by Dr. Jodi Sherman 

Mandatory watching for everyone  but esp anyone in healthcare and/or concerned about climate change from healthcare!
@GreeningDoc
 

https://youtu.be/Soht4djUyWU via 
@YouTube
youtube.com
Research Day 2020 keynote lecture by Dr. Jodi Sherman
Research Day 2020 keynote lecture by Dr. Jodi Sherman
4
7";4;post_46
@EggersMatt;"Great guest post by 
@Nowooski
 on 
@Noahpinion
's substack on how 
@SierraClub
 @NRDC
 and others have become counter productive on climate change b/c of capture by NIMBYs (and sometimes utilities). I stopped supporting these orgs years ago b/c of this.
noahpinion.substack.com
America’s Top Environmental Groups Have Lost the Plot on Climate Change
A guest post by Wally Nowinski
6
4
31";4;post_47
@RogerPielkeJr;"Here is an old paper of mine critiquing climate geoengineering:

Pielke  Jr.  R. 2010. A Perspective Paper on Climate
Engineering: Including an Analysis of Carbon Capture as
a Response to Climate Change  Copenhagen Consensus Center. https://copenhagenconsensus.com/sites/default/files/pp_climate_engineering_pielke_v.3.0.pdf…
1
4
8";4;post_48
@TerryAudla;"Replying to 
@canyonforest
Climate change is real but that is not what caused this bear to become sickly. It is dying a natural death unrelated to climate change. Careful not to use images for the deniers to use against you.
1
10";554;post_49
@AlexandriaV2005;"I remember learning about the earth's cycles  and how they were being affected by climate change. I remember helping my mom and 
@WeatherProf
 with their presentation on the jet stream  and I got to attend the presentations of everyone in Lisa's class: https://climatesociety.ei.columbia.edu/news/cs-breaks-columbias-new-manhattanville-building-public-climate-presentations… /2
1
4
37";4;post_50
@leongalindo;"""In the end  climate change is not a scientific or technical problem. The scientific community understands how fossil fuels cause climate change  and technology to solve the problem exists. Rather  climate change is a political problem."" - 
@AndrewDressler
Quote Tweet
Andrew Dessler
@AndrewDessler
 · Jan 17
I have something out in the @BulletinAtomic about fossil fuels.  

tl;dr: fossil fuels are terrible  we don't need them  but we're not switching b/c 20th century economists convinced us to let corporations run our economy.

https://thebulletin.org/2022/01/how-greed-and-politics-are-slowing-the-switch-to-renewable-energy/…
Show this thread
1
6
9";6;post_51
@ScottDuncanWX;"142 years of climate change in 15 seconds
GIF
67
2 825
4 353";2825;post_52
@SDonziger;"BREAKING: Exxon and other oil giants are now claiming that suing them over lies about climate change violates their Free Speech rights.

A planet-destroying industry turns the Constitution on its head to protect its profits. https://theguardian.com/environment/2022/jan/18/exxon-texas-courts-critics-climate-crimes…
42
564
1 237";564;post_53
@Climate24877412;"Our voice on climate change will be louder when we act together.
4
28
78";28;post_54
@fabbgrat;"that climate change girl is a movie director?
GIF
ALT
Quote Tweet
Film Updates
@FilmUpdates
 · Jan 18
Greta Gerwig’s ‘BARBIE’ starring Margot Robbie and Ryan Gosling will begin filming next month in London.
7
20
313";20;post_55
@JoernHaese;"The ignorance towards climate change has its roots in a deep conviction that mankind will be able to avoid it somehow! From the moment we learned how to calculate the move of our planets we became arrogant  thinking ALL can be controlled! This arrogance takes us down Doomslane.
Quote Tweet
Matthew Todd
@MrMatthewTodd
 · Jan 18
Why won’t the media tell the public that scientists such as our former Chief Scientist  Sir David King  acknowledges billions may die because of climate change within our kids lifetimes. Here at 3.10 http://youtu.be/-bDZEvSPvxA NASAs James Hansen warns ‘equivalent to an asteroid hit’
1
10
24";10;post_56
@colorado_reed;"Next AI + Climate Change reading group will be Tues Jan 25th at 5pm PST. We'll hear from Salva Rühling Cachay on ""ClimART: A Benchmark Dataset for Emulating Atmospheric Radiative Transfer in Weather and Climate Models"" 
1
9
39";9;post_57
@ScottwbMcAulay;"Sometimes  I wonder if more people would rush to get behind the National Retrofit Strategies we need to tackle climate change+fuel poverty  if they knew how energy inefficient their home (likely designed to last 60 years tops) is+just how rare routine maintenance of buildings is?
1
6
31";6;post_58
@mjonesssssss;"I hate how big corporations have brainwashed society that it's the individual's job to fix climate change. We should be policing the big guys fucking up the planet with all their polution #ClimateCrisis
1
6
16";6;post_59
@michaelqtodd;"Novak Djokovic is not being ""singled out"".
Beating Covid is a team thing.
If you do not want to be on the jab team you will not be forced to. Just heavily restricted when you do not.
Is how we beat Polio and now Climate Change.
Polluting businesses are being taxed and shunned.
2
7
45";7;post_60
@WelfareStateFan;"Guy who wants government services but also tax cuts  and wants to fight climate change but also to drive everywhere and have ample parking when he gets there  and wants politicians to cater to his issues but doesn't want to vote
2
4
43";4;post_61
@alexiscxcilia;"also for a party that is so concerned about the environment and climate change  it doesn’t make sense that y’all want us to wear disposable masks. y’all want those to fill up our landfills????
1
3
11";3;post_62
@The_One_Lopez;"Why give people money and healthcare and social services and address climate change and housing when you can just fleece some dopey VCs on “synthetic wombs  etc” lmao
Quote Tweet
Sahil
@shl
 · Jan 18
Replying to @elonmusk
We should be investing in technology that makes having kids much faster/easier/cheaper/more accessible

Synthetic wombs  etc
1
9
37";9;post_63
@NERPS_hiroshima;"NERPS Hiroshima University invites you for the 14th NERPS Webinar (27 January 2022 at 10.00-11.00 AM JST) featuring Dr. Yvette Baninla. She'll discuss the current situation of African climate change research. It will be a hybrid event. Register here https://buff.ly/3qxYPeF
2
11";2;post_64
@SenatorBennet;"In the months and years ahead  climate change is only going to keep fueling natural disasters in Colorado like the #MarshallFire.

For the sake of our health  economy  and communities in the West  Congress must act. It has never been more urgent.
thehill.com
The most destructive fire in Colorado history: What I’ve been working my whole career to prevent
We cannot tackle this alone. Federal leadership on climate change is required to help accelerate climate solutions.  
19
42
136";42;post_65
@LEANAustralia;"UK Climate Change Risk Assessment (by Conservative government) required under Climate Change Act highlights massive economic costs of climate inaction  massive economic benefits of climate action
Meanwhile Scott Morrison won't even let a Climate Change Act here be debated ...
Quote Tweet
Conservative Environment Network
@CEN_HQ
 · Jan 18
The government has found that stalling on climate could cost the taxpayer £20 billion every year by 2050  whereas investment in adaptation reaps £10 for every £1 spent 
https://thetimes.co.uk/article/climate-change-to-cost-uk-economy-up-to-20bn-a-year-by-2050-mhjcnw7pv…
2
8
6";8;post_66
@waltermasterson;"Please sign and share this to help fight Climate Change.
https://bit.ly/3GxoJol
1
23
117";23;post_67
@artnet;"Art institutions aren't doing enough to lead on climate change. Here's how the industry should rethink its responsibility: https://bit.ly/3qDoti7
5
6
13";6;post_68
@erumors;"Before energy companies got into the business of spreading weaponized disinformation denying and obscuring climate change and its causes  they recognized it as an existential threat:
truthorfiction.com
Did Shell Release a Short Film About the Dangers of Global Warming?
The video
1
8
10";8;post_69
@HannahAskew;"Indigenous communities at higher risk of climate change-induced flooding  study shows https://ctvnews.ca/climate-and-environment/indigenous-communities-at-higher-risk-of-climate-change-induced-flooding-study-shows-1.5730269… via 
@CTVNews
ctvnews.ca
Indigenous communities at higher risk of climate change-induced flooding  study shows
A recent study has found that Indigenous communities are at a higher risk of climate change-induced flooding because of the pre-existing socioeconomic hardships they face  such as the legacy of...
1
18
16";18;post_70
@GreekCurrent;" Is the US decision to shift its focus from the #EastMed gas pipeline to regional electricity interconnectors an opportunity for #Greece to reframe the dialogue around energy and climate change in the region? 
@ntsafos
 makes the case on our podcast: https://thegreekcurrent.simplecast.com/episodes/beyond-the-eastmed-pipeline-an-opportunity-for-greece…
2
12
18";12;post_71
@GAGeogger;"This is excellent. It’s also worth a listen to Professor Jamie Woodward talking about both micro plastics and climate change on GeogPod https://geogpod.podbean.com/e/episode-38-jamie-woodward/…
Quote Tweet
Environmental Audit Committee
@CommonsEAC
 · Jan 18
What causes the high concentrations of microplastics found in riverbeds? Professor Jamie Woodward explains below 

 Our Water Quality in Rivers report is out now  read it at https://bit.ly/3fkCOJQ 

#EACRivers #SaveOurRivers #CleanItUp #RiverPollution
5
11";5;post_72
@bmcushing;"""policy will come along"" to address climate change  the CEO of Exxon says  as if his company and peers haven't spent decades fighting at every turn to make sure that type of policy is as weak and delayed as possible
Quote Tweet
Squawk Box
@SquawkCNBC
 · Jan 18
""As you go through 2050  if society is going to achieve this ambition of net zero  policy will come along  market incentive will come along  advances in technology will come along  and that will help drive the cost of those outer-years down "" says @exxonmobil CEO Darren Woods.
1
11";1;post_73
@ianjmclachlan;"Brilliant talk this evening by Professor Myles Allen for 
@OxClimateSoc
's School of Climate Change about the science behind climate change. His conclusion: We must make the extractors and vendors of fossil fuels responsible for disposing of the waste their products generate.
1
3";1;post_74
@DaveyDogs;"Replying to 
@btckr
Climate change  integrity (fed gov't & int'l)  housing affordability & equity  and a vision for the future wouldn't go astray.
1
4
21";4;post_75
@axios;"81% of U.S. Latinos consider addressing global climate change a priority vs. 67% of non-Hispanics  a Pew poll finds. Now  a virtual summit is highlighting environmental activism among Latinos.
axios.com
Climate change hits home for Latinos
Climate change and pollution have outsized impacts on communities of color in the U.S.
2
9
25";9;post_76
@COOPartnerships;"King County is looking for members of frontline communities most affected by climate change to join the Re+ Community Panel  a program that’s dedicated to addressing climate change through preventing and reducing waste. Applications due on Friday  Jan 21.
https://kingcounty.gov/re-plus
4
5";4;post_77
@cdnbiz;"Canadian companies know that to talk about periods is to talk about climate change and income inequality and trans rights—and it seems that everyone else is meeting them in their moment.
canadianbusiness.com
How Canada Became a Period Product Hotspot
The country has become a hub for sustainable menstrual products including period underwear  cups and reusable tampon applicators.
1
6
9";6;post_78
@cvjonardi;"Replying to 
@NMBewitched
 @DeborahFerrari
 and 13 others
It isn't green.  This administration is a terrible disappointment to me .  Yes stop talking about climate change and basically stand by while wildlife are eradicated.
1
9
12";9;post_79
@dalebeugin;"Honoured to speak with New Brunswick Committee on Climate Change and Environmental Stewardship today on building resilience  reducing GHG emissions  and driving long-term competitiveness https://cbc.ca/news/canada/new-brunswick/nb-climate-change-policies-not-tough-enough-1.6319251…
Quote Tweet
Louise Comeau
@louise27comeau
 · Jan 18
Some @poitrasCBC coverage of today's legislative hearings including from @cc_nb and @ClimateChoices  @dalebeugin
1
12";1;post_80
@WorldResources;"Climate change is water change. Find out how data centers like 
@Cyrusone
 are using 
@WRIAqueduct
's Water Risk Atlas to adjust how their facilities use water in areas facing high #WaterStress like Carrollton  Texas: http://ow.ly/Kfb750HxhFf
4
19";4;post_81
@ChristineArena;"“Any suggestion that we engaged in disinformation to mislead the public on climate change is simply wrong.” (10/2021)

“But if we did lie  then it’s free speech.” 
(1/2022)
theguardian.com
How Exxon is using an unusual law to intimidate critics over its climate denial
America’s largest oil firm claims its history of publicly denying the climate crisis is protected by the first amendment
1
1
14";1;post_82
@USDA_NIFA;"In 2021  
@USDA_NIFA
 worked to address climate change via climate-smart agriculture and forestry. 

USDA-NIFA and other agencies and organizations have partnered with 
@NSF
 to pursue transformational advances in a range of economic sectors and science and engineering fields.
ALT
1
6
9";6;post_83
@amazonwatch;"""Larry Fink apparently wants to be above the political fray  but by playing nice with those profiting off of the causes of climate change  he’s making the political choice to reject climate science"" - 
@moira_kb
Quote Tweet
CNBC
@CNBC
 · Jan 18
Climate activists criticize BlackRock CEO's support for slow transition off oil and natural gas https://cnb.cx/33oUa6f
4
14";4;post_84
@ClintOfChicago;"Replying to 
@mariavhawkins
 and 
@jkfecke
Because half the country would just throw them in the trash  filling the landfills with plastic bits. People scream about climate change but want to waste a million tons of plastic made out of fossil fuels by tossing a billion unused covid tests in the trash.
8
2
30";2;post_85
@greenfaithworld;"As the climate crisis accelerates  the CEO of 
@BlackRock
 — the world's largest asset manager and one of the word's biggest investors in fossil fuels — is taking a morally vapid position on climate change.
Quote Tweet
Asset Manager Wake Up Call
@AM_WakeUpCall
 · Jan 18
Larry Fink's 2022 letter to CEOs is out now. Unfortunately  he's not acting as a bold climate leader in this letter; he's playing all sides. And rapid climate breakdown doesn't leave a grace period for the Finks of the world to appease climate laggards. https://blackrocksbigproblem.com/blackrocks-2022-letter-to-ceos-trying-to-please-all-sides-fink-stalls-on-climate/…
Show this thread
1
5
8";5;post_86
@ForeignPolicy;"Unlike other environmental problems  the effects of climate change are not immediate  which makes it even harder to form a democratic consensus.
foreignpolicy.com
What if Democracy and Climate Mitigation Are Incompatible?
Elected officials work through compromise  but a warming planet waits for no one.
1
2
12";2;post_87
@biblioracle;"The concept of living through a ""discontinuity"" which is applied to actions surrounding climate change  is applicable to schooling as well. In many cases  schools were not well-serving students prior to the pandemic. The pandemic has exacerbated existing problems.
1
1
13";1;post_88
@GrumpySteen;"Replying to 
@EvilSteveUrkel
If you watched something other than Fox news  you'd know she was still trying to get people to take climate change seriously.
But  of course  you don't.  You're in your little bubble where the only time she's mentioned is to make fun of her.
washingtonpost.com
Greta Thunberg on the state of the climate movement and the roots of her power as an activist
The Swedish activist discusses being catapulted to the world stage  and how Asperger’s has helped her stay so focused.
2
1
47";1;post_89
@MarioDB;"Border security is national security  and it has worsened each month of Biden’s presidency. Instead of addressing his self-inflicted border crisis  the Biden Administration and 
@DHSgov
 have now launched the “Climate Change Professionals Program.”
foxnews.com
Homeland Security launches 'climate change professionals program' amid historic illegal border...
Rep. Ashley Hinson accused the Biden administration of ""living in an alternate reality.""
10
6
7";6;post_90
@TexasTribune;"3/3 Persistently higher temperatures tend to enhance drought conditions.

Climate change has led to an increase in the daily minimum and maximum temperatures in Texas  according to a 2021 report by the state climatologist.
texastribune.org
Climate change is making Texas hotter  threatening public health  wat…
A report from the state climatologist finds that the state is experiencing hotter days with less relief from high temperatures at night.
5
4
11";4;post_91
@MindShiftKQED;"""When hope falters  the only options left are courage or collapse.""

A teenager writes how to maintain hope and courage in the fight against climate change. 
@GreaterGoodSC
greatergood.berkeley.edu
Can We Be Hopeful and Courageous in the Face of Climate Change?
A teenager draws on the work of Martin Luther King Jr. for inspiration in the fight against climate change.
5
9";5;post_92
@UlsterExec;".
@GovKathyHochul
 Executive Budget will make historic investments in critical areas that will be highly impactful for Ulster County — bolstering our infrastructure  confronting climate change  and providing record support for our children’s education; 1/2
governor.ny.gov
FY 2023 New York State Budget
1
3
7";3;post_93
@badler;"""We see these bigger swings in the jet stream linked to climate change  and when they happen we always get unusual weather conditions "" 
@JFrancisClimate
yahoo.com
Southern snowstorm likely worsened by climate change  scientists say
The snowstorm that battered the South this weekend  leaving thousands without power  was likely exacerbated by climate change  according to leading climate scientists.
4
2";4;post_94
@PeterDClack;"The Intergovernmental Panel on Climate Change is not a science body. It is political  set up to force the west to accept that its toxic emissions of carbon dioxide will destroy world climate. All this will take place decades in the future  the biggest propaganda scam in history.
37
263
658";263;post_95
@OhNoSheTwitnt;"If Jews actually controlled the world then climate change wouldn’t be an issue because we would always keep the planet at about 72 degrees but bring a sweater in case it gets chilly later.
44
228
4 166";228;post_96
@MyFirstCousin;"I can see it now  Morrison blurting  "" If only we'd known about climate change"".
22
75";22;post_97
@annekempel;"You study biology  and are looking for a cool master project in the Alps this summer? You like hiking and are interested in climate change effects on biotic interactions? I offer 2 projects to resurvey historical data on ant hills and marmot burrows. DM me! 
@SLF_MountEcosys
5
144
248";144;post_98
@AnthonyAdragna;".
@jontester
 to the Hill pool: ""I just came off the worst year ever on my farm. We need to do something on climate change. I think we spent $144 billion this year on disasters and I don't think that included crop insurance. So we need to do something on climate too.""
15
257
1 093";257;post_99
@TeoDiezYsiete;"From Covid --> Climate Change
GIF
ALT
1
4
15";4;post_100
@JamesClimateGuy;"Roaches are designed for survival; compared to them we are barely hanging on. So  unless climate change is reversed  we may be heading toward a planet where cockroaches are the dominant species 
 Who are the roaches?

#wtpBLUE #wtpEARTH
popsci.com
If People Were Cockroaches  Adapting to Climate Change Would Be Easy
The cockroach is among the most adaptable animals on the planet. Will it weather climate change unfazed?
5
46
52";46;post_101
@GuerrerosMexica;"Several countries are removing health restrictions  but DON ' T RELAX and believe that everything is over.  It is not like that  that scum will continue with their DICTATORSHIP plans  they will tell us about the supposed Climate Change or the arrival of aliens that will be just
1
4
21";4;post_102
@DutchPirateGirl;"So narrative is crumbling 
Restrictions are getting lifted 
I’m glad but I don’t think this is over by a long shot 
The rest of world still full on in many places 
I do believe Lockstep is a thing 
So what’s next 
New variant? 
Climate change? 
Or are we winning ? 
Whatcha think?
5
4
8";4;post_103
@woodhouseb;"I'll tell you what Republicans aren't for:
Lowering Rx Drug Prices
Lowering Health Care Premiums
Loweing Child Care Costs
Curbing Climate Change
Voting Rights
Admitting Biden won the election
Winning a fair fight
Science
Lowering energy prices
Democracy
Moving on from Trump
3
24
40";24;post_104
@AnimalsAus;"Here's how to help combat climate change for animals. 
animalsaustralia.org
5 reasons to combat climate change — for the animals | Animals Australia
We know the causes of global warming  and we must act to stop animals suffering from climate change.
1
22
29";22;post_105
